Year,Month,Country,Rate
2017,Jan,US,120.72
2017,Feb,US,123.24
2017,Mar,US,127.79
2017,Apr,US,126.26
2017,May,US,126.63
2017,Jun,US,129.12
2017,Jul,US,130.85
2017,Aug,US,127.69
2017,Sep,US,128.52
2017,Oct,US,130.2
2017,Nov,US,122.64
2017,Dec,US,121.86
2017,Jan,CN,
2017,Feb,CN,
2017,Mar,CN,
2017,Apr,CN,48.04
2017,May,CN,47.91
2017,Jun,CN,48.93
2017,Jul,CN,50.8
2017,Aug,CN,51.96
2017,Sep,CN,52.1
2017,Oct,CN,53.04
2017,Nov,CN,53.04
2017,Dec,CN,53.16
2018,Jan,US,123.33
2018,Feb,US,126.38
2018,Mar,US,131.56
2018,Apr,US,130.33
2018,May,US,129.9
2018,Jun,US,132.66
2018,Jul,US,133.44
2018,Aug,US,130.71
2018,Sep,US,131
2018,Oct,US,133.81
2018,Nov,US,124.22
2018,Dec,US,124.28
2018,Jan,CN,53.21
2018,Feb,CN,53.83
2018,Mar,CN,53.83
2018,Apr,CN,56.2
2018,May,CN,54.98
2018,Jun,CN,53.46
2018,Jul,CN,51.38
2018,Aug,CN,50.03
2018,Sep,CN,50
2018,Oct,CN,52.82
2018,Nov,CN,52.78
2018,Dec,CN,52.99
2019,Jan,US,124.39
2019,Feb,US,128.94
2019,Mar,US,132.66
2019,Apr,US,131.85
2019,May,US,132.43
2019,Jun,US,134.52
2019,Jul,US,135.04
2019,Aug,US,132.47
2019,Sep,US,131.93
2019,Oct,US,133.34
2019,Nov,US,125.55
2019,Dec,US,126.84
2019,Jan,CN,51.31
2019,Feb,CN,52.1
2019,Mar,CN,52.26
2019,Apr,CN,54.38
2019,May,CN,52.78
2019,Jun,CN,52.54
2019,Jul,CN,52.31
2019,Aug,CN,50.98
2019,Sep,CN,50
2019,Oct,CN,49.98
2019,Nov,CN,52.78
2019,Dec,CN,53.39
2020,Jan,US,126.06
2020,Feb,US,130.78
2020,Mar,US,110.66
2020,Apr,US,73.23
2020,May,US,79.57
2020,Jun,US,92.15
2020,Jul,US,101.76
2020,Aug,US,102.46
2020,Sep,US,99.12
2020,Oct,US,97.61
2020,Nov,US,
2020,Dec,US,
2020,Jan,CN,47.57
2020,Feb,CN,46.06
2020,Mar,CN,45.43
2020,Apr,CN,42.33
2020,May,CN,42.25
2020,Jun,CN,42.37
2020,Jul,CN,
2020,Aug,CN,
2020,Sep,CN,
2020,Oct,CN,
2020,Nov,CN,
2020,Dec,CN,
